measnum,varname,strain,strainid,sex,mean,nmice,sd,sem,cv,minval,maxval,zscore
62006,periphery_dist,BXD77,1177,m,4143,4,952,476,0.230,3303,5180,-1.53
62006,periphery_dist,BXD8,1108,m,5282,10,770,244,0.146,4156,6385,-0.56
62006,periphery_dist,BXD80,1180,m,7399,10,1245,394,0.168,5582,9166,1.24
62006,periphery_dist,BXD81,1181,m,5362,10,1949,616,0.363,2084,8428,-0.49
62006,periphery_dist,BXD84,1184,m,5355,10,1083,343,0.202,3476,6595,-0.50
62006,periphery_dist,BXD85,1185,m,5559,4,2020,1010,0.363,2950,7288,-0.32
62006,periphery_dist,BXD86,1186,m,5926,10,1269,401,0.214,3687,7639,-0.01
62006,periphery_dist,BXD87,1187,m,5000,10,1044,330,0.209,3405,6411,-0.80
62006,periphery_dist,BXD89,1189,m,6461,10,1117,353,0.173,5342,8860,0.44
62006,periphery_dist,BXD90,1190,m,6653,6,1047,427,0.157,5049,7915,0.61
62006,periphery_dist,BXD92,1192,m,6415,3,1014,585,0.158,5251,7106,0.41
62006,periphery_dist,BXD96,1196,m,5220,10,1544,488,0.296,2439,7958,-0.61
62006,periphery_dist,BXD97,1197,m,5145,10,1321,418,0.257,3149,7025,-0.68
62006,periphery_dist,BXD98,1198,m,8208,7,1917,725,0.234,5330,10488,1.93
62006,periphery_dist,C57BL/6J,7,m,6891,10,1914,605,0.278,4448,10983,0.81
62006,periphery_dist,DBA/2J,8,m,7638,10,1905,602,0.249,5078,11878,1.45
62007,periphery_dist_pct,BXD1,1101,f,57.4,2,8.15,5.76,0.142,51.6,63.1,-0.28
62007,periphery_dist_pct,BXD100,1100,f,63.8,10,9.29,2.94,0.146,48.7,82.0,0.40
62007,periphery_dist_pct,BXD101,1091,f,68.3,6,10.9,4.44,0.159,51.6,79.2,0.88
62007,periphery_dist_pct,BXD102,1092,f,57.9,10,5.79,1.83,0.1000,49.4,66.5,-0.22
62007,periphery_dist_pct,BXD11,1111,f,65.6,10,8.89,2.81,0.135,55.5,79.1,0.59
62007,periphery_dist_pct,BXD13,1113,f,68.6,10,11.6,3.66,0.169,50.5,92.5,0.91
62007,periphery_dist_pct,BXD14,1114,f,45.0,10,8.39,2.65,0.187,29.6,61.2,-1.59
62007,periphery_dist_pct,BXD15,1115,f,71.1,10,12.2,3.85,0.171,49.5,85.8,1.18
62007,periphery_dist_pct,BXD16,1116,f,54.5,10,8.08,2.55,0.148,44.0,66.2,-0.58
62007,periphery_dist_pct,BXD18,1118,f,58.7,2,6.07,4.29,0.103,54.4,63.0,-0.14
62007,periphery_dist_pct,BXD19,1119,f,65.5,2,3.63,2.56,0.0554,63.0,68.1,0.58
62007,periphery_dist_pct,BXD2,1102,f,57.1,10,11.7,3.69,0.204,43.5,74.3,-0.31
62007,periphery_dist_pct,BXD21,1121,f,55.3,10,9.72,3.07,0.176,43.9,69.7,-0.50
62007,periphery_dist_pct,BXD27,1127,f,71.8,10,13.2,4.16,0.183,46.1,90.1,1.25
62007,periphery_dist_pct,BXD28,1128,f,61.8,10,9.46,2.99,0.153,41.7,71.1,0.19
62008,activity,BXD50,1150,f,15085,10,2475,783,0.164,11432,19780,1.98
